algorithm,search_seed,candidate_training_seed,evaluation,iteration,planet,num_heads,d_model,dropout_rate,filters,kernel_size,learning_rate_log10,weight_decay_log10,val_accuracy,trained_epochs
koa,0,20310902,1,1,1,4,128,0.2,96,5,-3.5,-4.5,0.989159882068634,8
koa,0,20310902,2,1,2,2,184,0.256394647400431,92,3,-3.0481262544246097,-3.951968492471147,0.9728997349739075,8
koa,0,20310902,3,1,3,4,132,0.24669148170576438,93,7,-3.7880048486353375,-4.241268141209422,0.9918699264526367,8
koa,0,20310902,4,1,4,4,148,0.1560157357129637,89,6,-3.906071283885582,-4.61273173779413,0.9918699264526367,7
koa,0,20310902,5,1,5,6,132,0.21824039484404456,122,4,-3.00343241940607,-5.211213785539317,0.9837398529052734,8
koa,0,20310902,6,1,6,3,180,0.15371983406563955,117,5,-3.6117163272170765,-5.9474283754910715,0.9945799708366394,8
koa,0,20310902,7,1,7,3,156,0.10410979821476637,86,6,-3.5615423235496664,-3.855124038296287,0.9945799708366394,8
koa,0,20310902,8,1,8,5,170,0.25525647250749817,159,4,-3.319636760440049,-5.358278160218079,0.9810298085212708,8
koa,0,20310902,9,2,1,3,150,0.1582358084609846,103,6,-3.577306643939733,-4.827593905046381,0.9945799708366394,7
koa,0,20310902,10,2,2,2,192,0.16444207026016122,117,4,-3.1795500434368815,-4.271640198017988,0.9918699264526367,7
koa,0,20310902,11,2,3,4,160,0.19414374049499736,109,5,-3.70750366825865,-4.785084510297372,0.9918699264526367,8
koa,0,20310902,12,2,4,4,168,0.15712334465398586,109,5,-3.777804733593983,-5.895449001065928,0.9864498376846313,7
koa,0,20310902,13,2,5,5,180,0.16686753082627537,120,5,-3.120000714385319,-5.696658117061104,0.9810298085212708,8
koa,0,20310902,14,2,6,4,180,0.1915139978278808,110,4,-3.608726455296723,-6.0,0.989159882068634,8
koa,0,20310902,15,2,7,3,180,0.10931779788899383,100,5,-3.498070835962851,-4.819193344742498,0.9864498376846313,7
koa,0,20310902,16,2,8,4,168,0.15458321069886374,128,5,-3.6396090831257077,-5.482404905675058,0.989159882068634,7
