member,seed,best_epoch,best_val_accuracy,training_seconds,weights
1,20260903,10,0.9918699264526367,1126.9720474729547,/home/lcy/Series2Image/src/cnn-lstmwithattention/koa_configuration_ablation_6dataset/results/koa_p8_i2_e16/run_20260809_koa_config_ablation_deterministic_v2_seed0/fold_1/member_1_best.weights.h5
2,20260904,8,0.989159882068634,1052.2733348590555,/home/lcy/Series2Image/src/cnn-lstmwithattention/koa_configuration_ablation_6dataset/results/koa_p8_i2_e16/run_20260809_koa_config_ablation_deterministic_v2_seed0/fold_1/member_2_best.weights.h5
