algorithm,search_seed,candidate_training_seed,evaluation,iteration,planet,num_heads,d_model,dropout_rate,filters,kernel_size,learning_rate_log10,weight_decay_log10,val_accuracy,trained_epochs
koa,0,20311202,1,1,1,4,128,0.2,96,5,-3.5,-4.5,0.984375,7
koa,0,20311202,2,1,2,2,112,0.13991211204057974,151,3,-3.184437387038547,-5.07846852836522,0.984375,8
koa,0,20311202,3,1,3,6,120,0.10081277537883748,144,6,-3.465327507983555,-4.805729726927078,0.9817708134651184,5
koa,0,20311202,4,1,4,4,120,0.2929743449814576,53,7,-3.6534490378268147,-3.826333780483138,0.9505208134651184,7
koa,0,20311202,5,1,5,2,140,0.3445837716947635,115,3,-3.2342295344987715,-3.908875476732837,0.9661458134651184,6
koa,0,20311202,6,1,6,5,140,0.3196549332707078,129,3,-3.949427715871675,-4.284097321339102,0.9635416865348816,7
koa,0,20311202,7,1,7,2,76,0.17070648939461647,87,6,-3.6961134211967464,-5.66292728488706,0.9791666865348816,7
koa,0,20311202,8,1,8,6,126,0.2817086935962001,114,7,-3.8034245526984307,-4.801532135051632,0.9895833134651184,8
koa,0,20311202,9,2,1,5,120,0.2628941860155398,112,5,-3.798146383018257,-4.78619192454887,0.9791666865348816,6
koa,0,20311202,10,2,2,6,120,0.2304408017536006,119,7,-3.7877425814635592,-4.849265733172146,0.9895833134651184,7
koa,0,20311202,11,2,3,5,120,0.19404199490196966,117,6,-3.9192014705197042,-4.914115653761452,0.984375,8
koa,0,20311202,12,2,4,4,112,0.29598975432665636,84,6,-3.6390996308961037,-4.229270956757381,0.9791666865348816,8
koa,0,20311202,13,2,5,6,132,0.29446986223978133,107,6,-3.795041280257099,-4.380905159191351,0.9817708134651184,8
koa,0,20311202,14,2,6,6,138,0.3175986732455981,112,5,-3.7641254239749267,-4.859197174562092,0.9921875,8
koa,0,20311202,15,2,7,6,102,0.2241749599572493,109,6,-3.7224448963360666,-4.870994988797344,0.9921875,8
koa,0,20311202,16,2,8,6,132,0.2570082133956155,109,7,-3.9027364696591125,-4.698049204547489,0.9895833134651184,8
