epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7298110723495483,0.00017213713726960123,0.7285494804382324,0.7708333134651184,0.5030612349510193
1,0.8580504655838013,0.00017213713726960123,0.42703357338905334,0.90625,0.31264248490333557
2,0.8908209204673767,0.00017213713726960123,0.3671632409095764,0.9453125,0.26128503680229187
3,0.9317839741706848,0.00017213713726960123,0.2943253815174103,0.9609375,0.2053065448999405
4,0.9486708045005798,0.00017213713726960123,0.2575453519821167,0.9765625,0.18705926835536957
5,0.9530178904533386,0.00017213713726960123,0.24094732105731964,0.9635416865348816,0.2674165666103363
6,0.9573649764060974,0.00017213713726960123,0.23098263144493103,0.9869791865348816,0.17194139957427979
7,0.9617120623588562,0.00017213713726960123,0.2158164530992508,0.984375,0.17202341556549072
8,0.9662263989448547,0.00017213713726960123,0.204462930560112,0.984375,0.16462139785289764
9,0.9710750579833984,0.00017213713726960123,0.19500769674777985,0.9921875,0.16750143468379974
10,0.9734157919883728,0.00017213713726960123,0.18997390568256378,0.9895833134651184,0.16012100875377655
11,0.9730814099311829,0.00017213713726960123,0.19196708500385284,0.9661458134651184,0.21451711654663086
12,0.9759237766265869,0.00017213713726960123,0.18245871365070343,0.9739583134651184,0.19933940470218658
13,0.9775957465171814,0.00017213713726960123,0.17288435995578766,0.9713541865348816,0.18963944911956787
14,0.9782645106315613,0.00017213713726960123,0.1762184500694275,0.7864583134651184,0.4874129593372345
15,0.9775957465171814,0.00017213713726960123,0.1702885627746582,0.9635416865348816,0.19980557262897491
16,0.985955536365509,8.606856863480061e-05,0.15180829167366028,0.9140625,0.2503313720226288
17,0.9851195216178894,8.606856863480061e-05,0.1528165340423584,0.8515625,0.36363351345062256
18,0.9882962703704834,8.606856863480061e-05,0.14492347836494446,0.8619791865348816,0.35446441173553467
19,0.986289918422699,8.606856863480061e-05,0.14841140806674957,0.859375,0.3852975070476532
20,0.9876275062561035,8.606856863480061e-05,0.14558720588684082,0.8723958134651184,0.3549722731113434
21,0.9887978434562683,4.3034284317400306e-05,0.142378568649292,0.859375,0.4376815855503082
22,0.9901354312896729,4.3034284317400306e-05,0.1382378488779068,0.8359375,0.5098903179168701
23,0.9904698133468628,4.3034284317400306e-05,0.13786663115024567,0.8359375,0.5272350907325745
24,0.9887978434562683,4.3034284317400306e-05,0.1444540023803711,0.8385416865348816,0.5138623118400574
25,0.9911385774612427,4.3034284317400306e-05,0.1378934383392334,0.8359375,0.5387872457504272
26,0.9924761652946472,2.1517142158700153e-05,0.1332201361656189,0.8515625,0.5088222622871399
27,0.9924761652946472,2.1517142158700153e-05,0.13227152824401855,0.8359375,0.5704242587089539
28,0.9909713864326477,2.1517142158700153e-05,0.1352454423904419,0.8463541865348816,0.5332151651382446
29,0.9909713864326477,2.1517142158700153e-05,0.13533632457256317,0.8619791865348816,0.498812198638916
