,dirt_road,cobblestone_road,asphalt_road,bluestone_road,concrete_road
dirt_road,39,1,0,0,0
cobblestone_road,11,41,0,0,0
asphalt_road,1,0,67,0,0
bluestone_road,0,0,0,91,0
concrete_road,0,0,0,0,99
