algorithm,search_seed,candidate_training_seed,evaluation,iteration,planet,num_heads,d_model,dropout_rate,filters,kernel_size,learning_rate_log10,weight_decay_log10,val_accuracy,trained_epochs
koa,0,20311402,1,1,1,4,128,0.2,96,5,-3.5,-4.5,0.9724770784378052,8
koa,0,20311402,2,1,2,5,80,0.2737042457649218,118,5,-3.380022182862385,-4.1133503680690975,0.9449541568756104,6
koa,0,20311402,3,1,3,2,128,0.24082068194839695,143,7,-3.3739122385648344,-4.94381297426231,0.9724770784378052,8
koa,0,20311402,4,1,4,2,92,0.22556838229915308,63,4,-3.3430623082926894,-3.7686511102991385,0.9655963182449341,8
koa,0,20311402,5,1,5,4,120,0.13304562868417066,148,7,-3.465364351461731,-4.184261318870158,0.9770641922950745,8
koa,0,20311402,6,1,6,5,180,0.18949778170950815,118,7,-3.9627979559673587,-5.141063915398411,0.9724770784378052,8
koa,0,20311402,7,1,7,2,122,0.308572142656323,144,3,-3.972364753516071,-3.518809730487185,0.9564220309257507,8
koa,0,20311402,8,1,8,6,162,0.16703859859927567,58,6,-3.4750767677739693,-3.906761538059919,0.96100914478302,8
koa,0,20311402,9,2,1,4,128,0.11796424957445115,113,6,-3.5981110393255955,-4.431158234300428,0.9724770784378052,8
koa,0,20311402,10,2,2,4,116,0.18187984756915918,125,6,-3.3358302679354908,-4.223373730416934,0.963302731513977,8
koa,0,20311402,11,2,3,3,132,0.11425548145530176,153,7,-3.3847062559143004,-4.805033260305346,0.9426605701446533,5
koa,0,20311402,12,2,4,3,96,0.126879970557984,122,5,-3.26225393743067,-3.8147178408849305,0.9678899049758911,8
koa,0,20311402,13,2,5,4,136,0.1,154,6,-3.583937266778568,-4.076906711535327,0.9678899049758911,8
koa,0,20311402,14,2,6,5,120,0.17395227009526926,134,7,-3.4494109441551433,-4.482693951071637,0.9701834917068481,8
koa,0,20311402,15,2,7,3,108,0.23087197277222932,147,7,-3.540034056742331,-4.0134200667183775,0.9747706651687622,8
koa,0,20311402,16,2,8,6,138,0.14181150966468037,124,7,-3.5372440724191283,-3.7760493984494543,0.963302731513977,8
