algorithm,search_seed,candidate_training_seed,evaluation,iteration,planet,num_heads,d_model,dropout_rate,filters,kernel_size,learning_rate_log10,weight_decay_log10,val_accuracy,trained_epochs
koa,0,20311302,1,1,1,4,128,0.2,96,5,-3.5,-4.5,0.9399999976158142,8
koa,0,20311302,2,1,2,3,96,0.15183161604881196,110,6,-3.301138722879886,-5.416324298722005,0.9514285922050476,8
koa,0,20311302,3,1,3,2,122,0.2551841227095524,100,3,-3.4032400552320077,-3.873882380575849,0.9371428489685059,8
koa,0,20311302,4,1,4,3,120,0.2253436996125622,59,3,-3.0932351053250766,-4.36930242223725,0.9428571462631226,8
koa,0,20311302,5,1,5,4,104,0.1384530787946883,157,7,-3.4707738335324416,-5.55553776535399,0.9571428298950195,8
koa,0,20311302,6,1,6,5,170,0.2778810963139311,135,3,-3.2238076243195444,-4.086608503526084,0.9485714435577393,6
koa,0,20311302,7,1,7,6,96,0.27152360864234276,114,6,-3.0035552815122366,-5.572765163929459,0.9428571462631226,8
koa,0,20311302,8,1,8,3,180,0.16390146731536165,136,7,-3.203217731458468,-5.068165282272556,0.9571428298950195,8
koa,0,20311302,9,2,1,5,110,0.19125696432893546,139,7,-3.563416357165395,-4.742795744242203,0.9399999976158142,8
koa,0,20311302,10,2,2,4,120,0.1629370479527667,160,7,-3.3884711849390685,-5.334204035370627,0.9514285922050476,7
koa,0,20311302,11,2,3,3,126,0.18894608726226245,148,3,-3.2989931311533365,-5.358248513853592,0.954285740852356,8
koa,0,20311302,12,2,4,3,132,0.15994422953155096,123,7,-3.2754601199172573,-5.503977672612571,0.9571428298950195,8
koa,0,20311302,13,2,5,4,108,0.10788036887718329,160,6,-3.549392885544341,-5.5720773453079975,0.9514285922050476,8
koa,0,20311302,14,2,6,4,144,0.15592218554569826,147,4,-3.4336023869981966,-5.151848069204063,0.9514285922050476,7
koa,0,20311302,15,2,7,5,100,0.16071224602463186,143,5,-3.261611918178309,-5.481174067101789,0.9571428298950195,8
koa,0,20311302,16,2,8,3,132,0.11507402330172822,153,7,-3.4919542958230423,-5.192459698636176,0.954285740852356,8
