,dirt_road,cobblestone_road,asphalt_road,bluestone_road,concrete_road
dirt_road,99,2,0,0,0
cobblestone_road,0,30,0,0,0
asphalt_road,0,0,92,0,0
bluestone_road,0,0,0,74,0
concrete_road,0,0,0,0,87
