algorithm,search_seed,candidate_training_seed,evaluation,iteration,planet,num_heads,d_model,dropout_rate,filters,kernel_size,learning_rate_log10,weight_decay_log10,val_accuracy,trained_epochs
koa,0,20311002,1,1,1,4,128,0.2,96,5,-3.5,-4.5,0.9644808769226074,8
koa,0,20311002,2,1,2,6,84,0.12562835138005052,86,4,-3.2246162676695747,-3.704215090908944,0.9617486596107483,8
koa,0,20311002,3,1,3,2,152,0.2378359228654171,94,5,-3.010271766936037,-5.3593482498432445,0.9617486596107483,8
koa,0,20311002,4,1,4,2,136,0.2741742602839923,65,7,-3.290075873740518,-4.678223335951675,0.9699453711509705,8
koa,0,20311002,5,1,5,3,156,0.2389573025330116,152,4,-3.7274808943043576,-3.6828109994254654,0.9644808769226074,7
koa,0,20311002,6,1,6,2,88,0.3178839197452601,104,3,-3.8243226079822565,-3.864237072632786,0.9617486596107483,8
koa,0,20311002,7,1,7,2,164,0.13094951110336095,49,7,-3.449456144294473,-4.143032297586233,0.9617486596107483,8
koa,0,20311002,8,1,8,4,152,0.16329700979882905,101,3,-3.667442928853416,-4.202555988008056,0.9781420826911926,7
koa,0,20311002,9,2,1,3,162,0.16024181662221673,91,5,-3.6303527408271887,-4.397739824753618,0.9699453711509705,8
koa,0,20311002,10,2,2,6,144,0.13836483432775784,96,3,-3.6423172802555386,-3.895643899567729,0.9672130942344666,8
koa,0,20311002,11,2,3,3,168,0.17845806346355125,103,4,-3.14209009446214,-4.381330432905697,0.9508196711540222,6
koa,0,20311002,12,2,4,2,128,0.1805461595576301,82,5,-3.466681417008044,-4.564398617573298,0.9508196711540222,6
koa,0,20311002,13,2,5,4,164,0.20333607013448096,115,4,-3.7494151431013196,-4.270370733177256,0.9453551769256592,6
koa,0,20311002,14,2,6,2,112,0.1262199228658438,98,4,-3.78333592062039,-4.308853713101603,0.9781420826911926,8
koa,0,20311002,15,2,7,3,150,0.14061879749418835,92,3,-3.5530939970777577,-4.281624159818664,0.9699453711509705,8
koa,0,20311002,16,2,8,4,140,0.16751947132682868,112,3,-3.5945776511724055,-4.223290184056551,0.9644808769226074,8
