,dirt_road,cobblestone_road,asphalt_road,bluestone_road,concrete_road
dirt_road,73,1,0,0,0
cobblestone_road,3,32,0,0,0
asphalt_road,0,0,99,0,0
bluestone_road,0,0,0,73,1
concrete_road,0,0,0,1,86
