,dirt_road,cobblestone_road,asphalt_road,bluestone_road,concrete_road
dirt_road,315,28,3,0,0
cobblestone_road,21,333,5,0,0
asphalt_road,1,0,522,0,0
bluestone_road,0,0,0,515,1
concrete_road,0,0,0,1,577
