fold,test_key,sample_count,raw_accuracy,raw_precision,raw_recall,raw_f1_score,causal_accuracy,causal_precision,causal_recall,causal_f1_score
1,xmu_1,436,0.9678899082568807,0.9689010726902713,0.9678899082568807,0.9666742414005044,0.9678899082568807,0.9689010726902713,0.9678899082568807,0.9666742414005044
2,xmu_2,369,0.983739837398374,0.983789542839607,0.983739837398374,0.9836526914288751,0.983739837398374,0.983789542839607,0.983739837398374,0.9836526914288751
3,xmu_3,366,0.9836065573770492,0.983511246664125,0.9836065573770492,0.9835360337279353,0.9781420765027322,0.9782689732780071,0.9781420765027322,0.9781624099070189
4,xmu_4,417,0.9544364508393285,0.9541622485223983,0.9544364508393285,0.9524600650872047,0.9544364508393285,0.9541622485223983,0.9544364508393285,0.9524600650872047
5,xmu_5,384,0.9947916666666666,0.9951171875,0.9947916666666666,0.994849630376344,0.9947916666666666,0.9951171875,0.9947916666666666,0.994849630376344
6,xmu_6,350,0.9628571428571429,0.9695718287314925,0.9628571428571429,0.9632677505990574,0.9628571428571429,0.9695718287314925,0.9628571428571429,0.9632677505990574
